                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                     101                  9.9999999974837539E-001                 -4.8657958659299019E-002                  4.0336290013695315E+000                 -6.2341466312953395E+000                  5.6302730425013268E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                     102                  9.9999999974056286E-001                 -4.8661781435646659E-002                  4.0352581783910422E+000                 -6.2280691398223427E+000                  5.6385529895163122E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                     103                  9.9999999973665665E-001                 -4.8663666299409519E-002                  4.0363221271203367E+000                 -6.2240785698091639E+000                  5.6439866286211018E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                     104                  9.9999999973275056E-001                 -4.8665533947395159E-002                  4.0378860823497158E+000                 -6.2181816532003653E+000                  5.6520118448996657E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                     105                  9.9999999972493792E-001                 -4.8669218938394071E-002                  4.0398943253408568E+000                 -6.2104490266392878E+000                  5.6624868862265911E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                     106                  9.9999999971712528E-001                 -4.8672838990007634E-002                  4.0418297278674666E+000                 -6.2028752038678050E+000                  5.6727155490490082E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                     107                  9.9999999970931286E-001                 -4.8676396545688796E-002                  4.0436972016702217E+000                 -6.1954541801455711E+000                  5.6827091594058352E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                     108                  9.9999999970150033E-001                 -4.8679893913150495E-002                  4.0455011979206397E+000                 -6.1881798992549939E+000                  5.6924782798128080E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                     109                  9.9999999969368780E-001                 -4.8683333271194021E-002                  4.0472457657754095E+000                 -6.1810464112750587E+000                  5.7020327763887240E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                     110                  9.9999999968587527E-001                 -4.8686716677350209E-002                  4.0489346000710249E+000                 -6.1740479435412503E+000                  5.7113818787641222E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                     111                  9.9999999967806286E-001                 -4.8690046075522790E-002                  4.0505710810740085E+000                 -6.1671789609739482E+000                  5.7205342336821872E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
